ticker,name,cluster,tax,rl,friction,ret1y,pe,mcap,excess
ACN,Accenture,BPO/IT,reseller,70,35,-40.1553114502924,15.333608,115129458688.0,-69.97628474245592
CTSH,Cognizant,BPO/IT,reseller,78,30,-29.70380330853637,12.09436,26372116480.0,-59.52477660069988
G,Genpact,BPO/F&A,reseller,90,25,-22.4730150036768,10.107362,5585239552.0,-52.29398829584031
CNXC,Concentrix,Customer ops,reseller,92,20,-47.5981864412708,,1725826560.0,-77.41915973343431
EXLS,EXLService,Analytics BPO,reseller,88,28,-36.8775828937667,18.490446,4435288576.0,-66.69855618593022
TASK,TaskUs,Digital ops,reseller,90,18,-41.4891761138523,5.60177,579690048.0,-71.31014940601581
CNDT,Conduent,BPO,reseller,85,30,-22.767856620176108,,268317488.0,-52.58882991233962
ADP,ADP,Payroll/HCM,platform,60,45,-30.138932096040683,20.713352,88677048320.0,-59.95990538820419
PAYX,Paychex,Payroll/HCM,platform,60,45,-36.05967090609475,21.408388,34747052032.0,-65.88064419825827
WDAY,Workday,HCM software,platform,45,50,-40.98340863141953,45.542057,36105052160.0,-70.80438192358304
PAYC,Paycom,Payroll software,platform,55,45,-45.584817035791005,16.146822,6512406528.0,-75.40579032795452
INTU,Intuit,Tax/SMB software,platform,58,40,-55.64155422003172,20.239927,90685718528.0,-85.46252751219524
ORCL,Oracle,Enterprise software,platform,40,55,37.76669937489392,40.462364,649353691136.0,7.945726082730406
SAP,SAP,Enterprise software,platform,40,55,-38.93211944461588,25.039944,214318104576.0,-68.7530927367794
JPM,JPMorgan,Banking,incumbent,55,75,15.579911762369768,14.3279085,802004533248.0,-14.241061529793743
BAC,Bank of America,Banking,incumbent,55,75,19.557201116498767,12.803969,366184071168.0,-10.263772175664744
WFC,Wells Fargo,Banking,incumbent,55,78,5.966054822423095,11.984545,237287096320.0,-23.85491846974042
AXP,American Express,Cards,incumbent,55,70,8.752691789546363,19.767021,215935860736.0,-21.068281502617147
SCHW,Schwab,Brokerage,incumbent,58,68,0.1336294129891335,17.365805,151913480192.0,-29.687343879174378
MS,Morgan Stanley,Brokerage,incumbent,50,70,66.38321341236752,18.84058,328075247616.0,36.56224012020401
GS,Goldman Sachs,Brokerage,incumbent,50,70,73.47232778540724,18.72827,302547828736.0,43.65135449324373
UNH,UnitedHealth,Health ins,incumbent,60,80,29.520087568979704,28.65938,345376391168.0,-0.30088572318380713
ELV,Elevance,Health ins,incumbent,60,80,4.623072968463537,16.667656,85386076160.0,-25.197900323699976
CI,Cigna,Health ins,incumbent,58,80,-10.538914423629864,2.4395392,73381289984.0,-40.35988771579338
PGR,Progressive,P&C ins,incumbent,58,65,-28.838985528223105,9.679715,111098404864.0,-58.65995882038662
ALL,Allstate,P&C ins,incumbent,55,65,0.1316746132813406,4.559513,53051879424.0,-29.68929867888217
CB,Chubb,P&C ins,incumbent,52,68,5.55251870641662,11.026884,120907628544.0,-24.26845458574689
TRV,Travelers,P&C ins,incumbent,52,68,7.550717377578597,8.710535,62068862976.0,-22.270255914584915
AIG,AIG,Insurance,incumbent,50,70,-10.328006148531198,13.068663,39357210624.0,-40.14897944069471
MET,MetLife,Insurance,incumbent,50,70,8.390669657666173,15.994198,53205790720.0,-21.43030363449734
NEE,NextEra,Utility/grid,control,45,88,26.837022754442263,22.083757,181468528640.0,-2.983950537721249
DUK,Duke Energy,Utility/grid,control,42,88,7.898980885277185,18.881538,95679848448.0,-21.921992406886325
SO,Southern Co,Utility/grid,control,42,88,5.620559121516044,23.5422,103768072192.0,-24.200414170647466
CEG,Constellation,Utility/power,control,45,85,-5.516009884302353,25.0,103932436480.0,-35.336983176465864
UNP,Union Pacific,Rail,control,48,82,21.17824471387999,21.598686,155932852224.0,-8.64272857828352
CSX,CSX,Rail,control,48,82,45.29698221854645,27.76687,84099358720.0,15.476008926382935
NSC,Norfolk Southern,Rail,control,48,82,25.696113367555263,25.670033,68492185600.0,-4.1248599246082485
UPS,UPS,Parcel/logistics,control,55,60,16.90297654646109,17.263756,90687168512.0,-12.917996745702421
FDX,FedEx,Parcel/logistics,control,55,60,92.9854279969405,21.995193,98246328320.0,63.164454704776986
LIN,Linde,Industrial gas,control,40,80,7.875240933718497,33.003315,230105628672.0,-21.945732358445014
DOW,Dow,Chemicals,control,40,78,28.02954385452083,,24325023744.0,-1.7914294376426803
NVDA,Nvidia,AI builder,builder,10,30,56.28634458854589,32.383434,5114022068224.0,26.465371296382376
MSFT,Microsoft,AI builder,builder,15,35,-1.4170823661668552,26.81596,3344578379776.0,-31.238055658330367
GOOGL,Alphabet,AI builder,builder,15,35,122.23058111789658,28.989328,4607987679232.0,92.40960782573306
AVGO,Broadcom,AI builder,builder,10,30,86.05774201360366,86.920235,2115307700224.0,56.23676872144014
PLTR,Palantir,AI deployer,builder,20,40,18.788886580810797,175.88763,375275192320.0,-11.032086711352715
