submission,ladder_score,rho_m,n_tasks,n_failed_trials_h3,vtype_share,ladder_rank
o4-mini_openai_2024-06-20,0.4730206805068435,0.2202107750300635,234,466,0.027896995708154508,1
gpt-4-1-mini_openai_2024-06-20,0.48297604730091365,0.28256761575923506,234,430,0.09069767441860466,2
gpt-4-1_openai_2024-06-20,0.4900441084797844,0.4198680536362765,234,450,0.044444444444444446,3
claude-3-7-sonnet_anthropic_2024-06-20,0.5652447112851803,0.47149543951503553,234,373,0.021447721179624665,4
gpt-5-2-none_sierra_2026-02-26,0.6678268102617985,0.609362552149497,229,172,0.046511627906976744,5
claude-sonnet-4-5_sierra_2026-02-26,0.7016351457840818,0.6253508017286701,229,193,0.05699481865284974,6
gemini-3-flash_sierra_2026-03-02,0.7232316107001534,0.4103674674488223,233,184,0.04891304347826087,7
gpt-5_sierra_2025-08-09,0.7503455321667621,0.4909669773713132,234,165,0.01818181818181818,8
qwen3-max_qwen_2025-10-30,0.7663940189615039,0.4765069887690024,234,175,0.022857142857142857,9
qwen3-max_qwen_2026-01-23,0.7740222253006156,0.402991948492635,234,152,0.039473684210526314,10
gemini-3-pro_sierra_2026-03-02,0.7928924787671833,0.5733856716006108,229,158,0.0949367088607595,11
gpt-5-2_sierra_2026-02-26,0.802698975571316,0.6715196983081977,229,125,0.056,12
glm-5-think_sierra_2026-03-02,0.8100483757989668,0.42168439893942705,229,150,0.04,13
claude-opus-4-5_sierra_2026-02-26,0.81522524297347,0.6156000401631515,229,122,0.09016393442622951,14
qwen3.5-397b-a17b-think_sierra_2026-03-02,0.8495042027843448,0.5542342800402088,229,104,0.07692307692307693,15
