benchmark,task_id,model_name,side_effect,suboptimal,looping,success,n_steps,error_rate,repeat_rate,max_consec_norm,obs_tokens_per_step,obs_tokens_present,n_step_records,n_actions,path_json_mismatch
assistantbench,assistantbench.improved.validation.0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,0.0,1.0,0.0,0.0,30,0.6333333333333333,0.6666666666666667,0.1666666666666666,87146.76666666666,1,31,30,0
assistantbench,assistantbench.improved.validation.0,GenericAgent-anthropic_claude-3.7-sonnet,0.0,1.0,0.0,0.0,6,0.0,0.0,0.1666666666666666,132067.0,1,7,6,0
assistantbench,assistantbench.improved.validation.0,GenericAgent-gpt-4o-2024-11-20,0.0,0.0,0.0,1.0,3,0.0,0.0,0.3333333333333333,166233.0,1,4,3,0
assistantbench,assistantbench.improved.validation.0,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,1.0,1.0,0.0,0.0,11,0.2727272727272727,0.0,0.0909090909090909,276681.2727272727,1,12,11,0
assistantbench,assistantbench.improved.validation.1,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,0.0,1.0,0.0,0.0,30,0.8333333333333334,0.7666666666666666,0.1,78627.26666666666,1,31,30,0
assistantbench,assistantbench.improved.validation.1,GenericAgent-anthropic_claude-3.7-sonnet,0.0,1.0,0.0,0.0,10,0.0,0.0,0.1,123621.2,1,11,10,0
assistantbench,assistantbench.improved.validation.1,GenericAgent-gpt-4o-2024-11-20,0.0,1.0,0.0,0.0,4,0.0,0.0,0.25,131362.5,1,5,4,0
assistantbench,assistantbench.improved.validation.1,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,0.0,1.0,0.0,0.0,4,0.25,0.0,0.25,135958.25,1,5,4,0
assistantbench,assistantbench.improved.validation.10,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,0.0,1.0,1.0,0.0,22,0.0,0.7727272727272727,0.0909090909090909,118315.54545454546,1,23,22,0
assistantbench,assistantbench.improved.validation.10,GenericAgent-anthropic_claude-3.7-sonnet,0.0,1.0,0.0,0.0,8,0.0,0.0,0.125,129794.875,1,9,8,0
assistantbench,assistantbench.improved.validation.10,GenericAgent-gpt-4o-2024-11-20,0.0,1.0,0.0,0.0,30,0.0333333333333333,0.6666666666666667,0.5,360677.7,1,31,30,0
assistantbench,assistantbench.improved.validation.10,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,0.0,1.0,1.0,0.0,30,0.0666666666666666,0.7,0.7333333333333333,831349.5333333333,1,31,30,0
assistantbench,assistantbench.improved.validation.11,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,0.0,1.0,1.0,0.0,30,0.6333333333333333,0.6666666666666667,0.0666666666666666,87917.93333333333,1,31,30,0
assistantbench,assistantbench.improved.validation.11,GenericAgent-anthropic_claude-3.7-sonnet,0.0,1.0,0.0,0.0,7,0.0,0.0,0.1428571428571428,129372.0,1,8,7,0
assistantbench,assistantbench.improved.validation.11,GenericAgent-gpt-4o-2024-11-20,0.0,1.0,1.0,0.0,30,0.0333333333333333,0.4666666666666667,0.1666666666666666,209428.7333333333,1,31,30,0
assistantbench,assistantbench.improved.validation.11,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,0.0,1.0,1.0,0.0,30,0.2,0.6,0.2666666666666666,440073.76666666666,1,31,30,0
assistantbench,assistantbench.improved.validation.12,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,0.0,1.0,1.0,0.0,30,0.8333333333333334,0.8,0.8333333333333334,77783.9,1,31,30,0
assistantbench,assistantbench.improved.validation.12,GenericAgent-anthropic_claude-3.7-sonnet,0.0,1.0,1.0,0.0,30,0.2333333333333333,0.1333333333333333,0.0333333333333333,270064.13333333336,1,31,30,0
assistantbench,assistantbench.improved.validation.12,GenericAgent-gpt-4o-2024-11-20,1.0,1.0,1.0,0.0,30,0.5,0.3,0.2,201392.96666666667,1,31,30,0
assistantbench,assistantbench.improved.validation.12,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,0.0,1.0,1.0,0.0,30,0.1,0.2333333333333332,0.0333333333333333,223763.66666666663,1,31,30,0
assistantbench,assistantbench.improved.validation.13,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,0.0,1.0,1.0,0.0,6,0.0,0.1666666666666666,0.1666666666666666,150779.83333333334,1,6,6,0
assistantbench,assistantbench.improved.validation.13,GenericAgent-anthropic_claude-3.7-sonnet,0.0,1.0,1.0,0.0,3,0.0,0.0,0.3333333333333333,151199.33333333334,1,3,3,0
assistantbench,assistantbench.improved.validation.13,GenericAgent-gpt-4o-2024-11-20,1.0,1.0,1.0,0.0,9,0.0,0.5555555555555556,0.1111111111111111,150323.66666666666,1,9,9,0
assistantbench,assistantbench.improved.validation.13,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,0.0,1.0,1.0,0.0,10,0.0,0.3,0.1,125526.5,1,10,10,0
assistantbench,assistantbench.improved.validation.14,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,0.0,1.0,1.0,0.0,24,0.0833333333333333,0.4583333333333333,0.125,114398.91666666669,1,25,24,0
assistantbench,assistantbench.improved.validation.14,GenericAgent-anthropic_claude-3.7-sonnet,0.0,1.0,0.0,0.0,6,0.0,0.0,0.1666666666666666,132062.0,1,7,6,0
assistantbench,assistantbench.improved.validation.14,GenericAgent-gpt-4o-2024-11-20,0.0,1.0,0.0,0.0,4,0.25,0.0,0.25,176238.5,1,5,4,0
assistantbench,assistantbench.improved.validation.14,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,0.0,1.0,1.0,0.0,17,0.0,0.3529411764705882,0.4117647058823529,54214.41176470588,1,18,17,0
assistantbench,assistantbench.improved.validation.15,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,0.0,1.0,1.0,0.0,30,0.0,0.8,0.0666666666666666,132922.4,1,31,30,0
assistantbench,assistantbench.improved.validation.15,GenericAgent-anthropic_claude-3.7-sonnet,0.0,1.0,0.0,0.0,8,0.0,0.0,0.125,126973.375,1,9,8,0
assistantbench,assistantbench.improved.validation.15,GenericAgent-gpt-4o-2024-11-20,0.0,1.0,1.0,0.0,30,0.0666666666666666,0.5666666666666667,0.2,73351.9,1,31,30,0
assistantbench,assistantbench.improved.validation.15,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,0.0,1.0,1.0,0.0,30,0.0666666666666666,0.6333333333333333,0.1666666666666666,87956.03333333334,1,31,30,0
assistantbench,assistantbench.improved.validation.16,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,0.0,1.0,1.0,0.0,30,0.0,0.8,0.0666666666666666,142396.83333333334,1,31,30,0
assistantbench,assistantbench.improved.validation.16,GenericAgent-anthropic_claude-3.7-sonnet,0.0,1.0,0.0,0.0,8,0.0,0.0,0.125,127942.0,1,9,8,0
assistantbench,assistantbench.improved.validation.16,GenericAgent-gpt-4o-2024-11-20,0.0,1.0,1.0,0.0,30,0.0333333333333333,0.7,0.0333333333333333,313476.63333333336,1,31,30,0
assistantbench,assistantbench.improved.validation.16,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,0.0,1.0,1.0,0.0,21,0.5714285714285714,0.4285714285714286,0.4761904761904761,114197.14285714286,1,22,21,0
assistantbench,assistantbench.improved.validation.17,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,0.0,1.0,1.0,0.0,30,0.6,0.7,0.0666666666666666,89511.83333333333,1,31,30,0
assistantbench,assistantbench.improved.validation.17,GenericAgent-anthropic_claude-3.7-sonnet,0.0,1.0,0.0,0.0,7,0.0,0.0,0.1428571428571428,105632.42857142857,1,8,7,0
assistantbench,assistantbench.improved.validation.17,GenericAgent-gpt-4o-2024-11-20,0.0,1.0,1.0,0.0,30,0.0333333333333333,0.6333333333333333,0.0333333333333333,106356.7,1,31,30,0
assistantbench,assistantbench.improved.validation.17,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,0.0,1.0,1.0,0.0,30,0.0,0.7333333333333334,0.1,65955.4,1,31,30,0
